Date,oz
2010-01-04,3902
2010-01-05,3947
2010-01-07,3984
2010-01-08,3951
2010-01-11,4030
2010-01-12,4071
2010-01-13,4024
2010-01-14,4034
2010-01-15,4050
2010-01-18,4022
2010-01-19,4023
2010-01-20,4046
2010-01-21,3989
2010-01-22,3929
2010-01-25,3967
2010-01-26,3963
2010-01-27,3982
2010-01-28,3959
2010-01-29,3931
2010-02-01,3928
2010-02-02,4005
2010-02-03,4044
2010-02-04,4009
2010-02-05,3913
2010-02-08,3897
2010-02-09,3886
2010-02-10,3912
2010-02-11,3902
2010-02-12,3965
2010-02-17,4033
2010-02-18,3979
2010-02-19,3991
2010-02-22,4067
2010-02-23,4020
2010-02-24,3994
2010-02-25,3964
2010-03-01,4024
2010-03-02,4017
2010-03-03,4063
2010-03-04,4070
2010-03-05,4037
2010-03-09,3981
2010-03-10,3972
2010-03-12,3906
2010-03-15,3873
2010-03-16,3912
2010-03-17,3955
2010-03-18,3927
2010-03-19,3952
2010-03-22,3887
2010-03-23,3897
2010-03-24,3889
2010-03-26,3838
2010-03-30,3843
2010-03-31,3831
2010-04-01,3950
2010-04-02,3872
2010-04-05,3871
2010-04-06,3855
2010-04-07,3853
2010-04-08,3919
2010-04-09,3900
2010-04-12,3937
2010-04-13,3945
2010-04-14,3913
2010-04-15,3911
2010-04-16,3938
2010-04-19,3870
2010-04-21,3875
2010-04-22,3904
2010-04-23,3878
2010-04-26,3892
2010-04-27,3901
2010-04-28,3977
2010-04-30,3965
2010-05-03,4009
2010-05-04,4016
2010-05-05,4014
2010-05-06,4055
2010-05-07,4212
2010-05-10,4127
2010-05-11,4089
2010-05-12,4183
2010-05-13,4194
2010-05-14,4189
2010-05-17,4218
2010-05-18,4197
2010-05-19,4212
2010-05-20,4128
2010-05-21,4145
2010-05-24,4153
2010-05-25,4214
2010-05-26,4284
2010-05-27,4280
2010-05-31,4192
2010-06-01,4220
2010-06-02,4298
2010-06-03,4243
2010-06-04,4192
2010-06-07,4295
2010-06-08,4376
2010-06-09,4374
2010-06-10,4342
2010-06-11,4236
2010-06-14,4257
2010-06-15,4224
2010-06-16,4255
2010-06-18,4318
2010-06-21,4287
2010-06-22,4213
2010-06-23,4243
2010-06-24,4234
2010-06-25,4271
2010-06-28,4304
2010-06-29,4250
2010-06-30,4295
2010-07-01,4271
2010-07-02,4110
2010-07-05,4145
2010-07-06,4138
2010-07-07,4057
2010-07-08,4090
2010-07-09,4049
2010-07-12,4101
2010-07-13,4063
2010-07-14,4097
2010-07-15,4116
2010-07-16,4110
2010-07-19,4086
2010-07-20,4046
2010-07-21,4056
2010-07-22,4057
2010-07-23,4060
2010-07-26,4033
2010-07-27,4013
2010-07-28,3939
2010-07-29,3951
2010-07-30,3957
2010-08-02,3963
2010-08-03,3961
2010-08-04,3989
2010-08-05,4019
2010-08-06,3999
2010-08-09,4013
2010-08-10,4013
2010-08-11,4025
2010-08-12,4058
2010-08-13,4089
2010-08-16,4116
2010-08-17,4122
2010-08-18,4101
2010-08-19,4086
2010-08-20,4099
2010-08-23,4087
2010-08-24,4062
2010-08-25,4111
2010-08-26,4127
2010-08-27,4122
2010-08-30,4107
2010-09-01,4158
2010-09-02,4130
2010-09-03,4145
2010-09-06,4123
2010-09-07,4139
2010-09-08,4168
2010-09-09,4140
2010-09-13,4089
2010-09-14,4109
2010-09-15,4177
2010-09-17,4207
2010-09-20,4203
2010-09-21,4208
2010-09-22,4225
2010-09-23,4235
2010-09-24,4256
2010-09-27,4250
2010-09-28,4239
2010-09-29,4282
2010-09-30,4285
2010-10-01,4281
2010-10-04,4311
2010-10-05,4317
2010-10-06,4398
2010-10-07,4409
2010-10-08,4393
2010-10-11,4431
2010-10-12,4460
2010-10-13,4443
2010-10-14,4500
2010-10-15,4514
2010-10-18,4458
2010-10-19,4492
2010-10-20,4434
2010-10-21,4442
2010-10-22,4382
2010-10-25,4398
2010-10-26,4404
2010-10-27,4420
2010-10-28,4381
2010-10-29,4419
2010-11-01,4475
2010-11-02,4446
2010-11-03,4443
2010-11-04,4411
2010-11-08,4572
2010-11-09,4628
2010-11-10,4595
2010-11-11,4592
2010-11-12,4618
2010-11-15,4541
2010-11-16,4528
2010-11-18,4475
2010-11-19,4494
2010-11-22,4480
2010-11-23,4507
2010-11-24,4570
2010-11-25,4570
2010-11-26,4562
2010-11-29,4547
2010-11-30,4588
2010-12-01,4641
2010-12-02,4636
2010-12-03,4629
2010-12-06,4686
2010-12-08,4673
2010-12-09,4613
2010-12-10,4618
2010-12-13,4592
2010-12-14,4637
2010-12-15,4634
2010-12-16,4601
2010-12-17,4559
2010-12-20,4604
2010-12-21,4614
2010-12-22,4613
2010-12-23,4593
2010-12-24,4567
2010-12-27,4526
2010-12-28,4545
2010-12-29,4611
2010-12-30,4624
2011-01-03,4605
2011-01-04,4600
2011-01-05,4501
2011-01-06,4483
2011-01-07,4468
2011-01-10,4460
2011-01-11,4492
2011-01-12,4497
2011-01-13,4489
2011-01-14,4460
2011-01-17,4419
2011-01-18,4417
2011-01-19,4436
2011-01-21,4385
2011-01-24,4373
2011-01-25,4324
2011-01-26,4315
2011-01-27,4353
2011-01-28,4261
2011-01-31,4370
2011-02-01,4330
2011-02-02,4333
2011-02-07,4348
2011-02-08,4350
2011-02-09,4387
2011-02-10,4391
2011-02-11,4404
2011-02-14,4389
2011-02-16,4444
2011-02-17,4438
2011-02-18,4464
2011-02-21,4476
2011-02-22,4545
2011-02-23,4527
2011-02-24,4574
2011-02-25,4556
2011-02-28,4583
2011-03-01,4558
2011-03-02,4624
2011-03-03,4609
2011-03-04,4552
2011-03-07,4614
2011-03-08,4604
2011-03-09,4599
2011-03-10,4595
2011-03-11,4555
2011-03-14,4601
2011-03-15,4588
2011-03-16,4526
2011-03-17,4524
2011-03-18,4557
2011-03-21,4606
2011-03-22,4592
2011-03-23,4582
2011-03-24,4621
2011-03-25,4601
2011-03-28,4576
2011-03-29,4561
2011-03-30,4558
2011-03-31,4559
2011-04-01,4603
2011-04-04,4589
2011-04-05,4607
2011-04-06,4662
2011-04-07,4673
2011-04-08,4683
2011-04-11,4726
2011-04-12,4685
2011-04-13,4671
2011-04-14,4685
2011-04-15,4739
2011-04-18,4769
2011-04-19,4802
2011-04-20,4791
2011-04-21,4805
2011-04-22,4805
2011-04-25,4821
2011-04-26,4789
2011-04-27,4771
2011-04-28,4803
2011-04-29,4837
2011-05-03,4858
2011-05-04,4849
2011-05-05,4813
2011-05-06,4748
2011-05-09,4737
2011-05-10,4786
2011-05-11,4800
2011-05-12,4784
2011-05-13,4800
2011-05-16,4794
2011-05-18,4791
2011-05-19,4796
2011-05-20,4788
2011-05-23,4865
2011-05-24,4917
2011-05-25,4932
2011-05-26,4945
2011-05-27,4908
2011-05-30,4925
2011-05-31,4908
2011-06-01,4898
2011-06-02,4953
2011-06-03,4896
2011-06-06,4907
2011-06-07,4939
2011-06-08,4919
2011-06-09,4921
2011-06-10,4944
2011-06-13,4914
2011-06-14,4902
2011-06-15,4898
2011-06-16,4932
2011-06-17,4949
2011-06-20,4955
2011-06-21,4968
2011-06-22,4958
2011-06-23,4976
2011-06-24,4907
2011-06-27,4864
2011-06-28,4860
2011-06-29,4839
2011-06-30,4844
2011-07-01,4799
2011-07-04,4744
2011-07-05,4765
2011-07-06,4837
2011-07-07,4878
2011-07-08,4868
2011-07-11,4908
2011-07-12,4988
2011-07-13,5029
2011-07-14,5069
2011-07-15,5060
2011-07-18,5103
2011-07-19,5115
2011-07-20,5052
2011-07-21,5073
2011-07-22,5031
2011-07-25,5099
2011-07-26,5081
2011-07-27,5063
2011-07-28,5045
2011-07-29,5052
2011-08-01,5070
2011-08-02,5069
2011-08-03,5228
2011-08-04,5227
2011-08-05,5264
2011-08-08,5371
2011-08-09,5571
2011-08-10,5609
2011-08-11,5783
2011-08-12,5551
2011-08-15,5496
2011-08-16,5557
2011-08-17,5653
2011-08-18,5633
2011-08-19,5816
2011-08-22,5925
2011-08-23,6010
2011-08-24,5810
2011-08-25,5555
2011-08-26,5623
2011-08-29,5740
2011-09-02,5754
2011-09-05,5958
2011-09-06,6014
2011-09-07,5945
2011-09-08,5766
2011-09-09,5922
2011-09-12,5940
2011-09-13,5907
2011-09-14,5975
2011-09-15,5947
2011-09-19,5982
2011-09-20,5919
2011-09-21,5952
2011-09-22,5977
2011-09-23,5858
2011-09-26,5606
2011-09-27,5449
2011-09-28,5480
2011-09-29,5381
2011-09-30,5481
2011-10-03,5538
2011-10-04,5668
2011-10-05,5543
2011-10-06,5520
2011-10-07,5551
2011-10-10,5495
2011-10-11,5521
2011-10-12,5559
2011-10-13,5574
2011-10-14,5539
2011-10-17,5546
2011-10-18,5531
2011-10-19,5491
2011-10-20,5431
2011-10-21,5376
2011-10-24,5480
2011-10-25,5476
2011-10-27,5738
2011-10-28,5690
2011-10-31,5671
2011-11-01,5617
2011-11-02,5745
2011-11-03,5809
2011-11-04,5817
2011-11-08,5946
2011-11-09,5906
2011-11-10,5923
2011-11-11,5868
2011-11-14,5961
2011-11-15,5929
2011-11-16,5960
