Date,oz,exchange,oil
2010-01-04,3669,3.399,80.12
2010-01-05,3711,3.3875,80.59
2010-01-07,3746,3.371,81.51
2010-01-08,3717,3.376,81.37
2010-01-11,3786,3.3365,80.97
2010-01-12,3913,3.3425,79.3
2010-01-13,3866,3.3495,78.31
2010-01-14,3878,3.339,77.82
2010-01-15,3894,3.3395,77.11
2010-01-18,3866,3.3415,77.1
2010-01-19,3867,3.3405,77.63
2010-01-20,3887,3.3625,76.32
2010-01-21,3833,3.3775,74.58
2010-01-22,3777,3.3965,72.83
2010-01-25,3812,3.3995,73.69
2010-01-26,3810,3.4215,73.29
2010-01-27,3827,3.4275,72.24
2010-01-28,3805,3.406,72.13
2010-01-29,3779,3.4085,71.46
2010-02-01,3776,3.4085,73.11
2010-02-02,3849,3.4185,76.06
2010-02-03,3885,3.402,75.92
2010-02-04,3852,3.419,72.13
2010-02-05,3761,3.444,69.59
2010-02-08,3745,3.4405,70.11
2010-02-09,3734,3.4365,72.13
2010-02-10,3760,3.432,72.54
2010-02-11,3752,3.4275,73.05
2010-02-12,3810,3.4175,72.9
2010-02-17,3876,3.386,76.27
2010-02-18,3823,3.4015,77.78
2010-02-19,3836,3.4135,78.19
2010-02-22,3909,3.401,78.61
2010-02-23,3862,3.3925,77.25
2010-02-24,3838,3.401,78.09
2010-02-25,3810,3.406,76.29
2010-03-01,3866,3.387,76.89
2010-03-02,3862,3.385,78.18
2010-03-03,3906,3.374,79.25
2010-03-04,3913,3.372,78.54
2010-03-05,3881,3.364,79.89
2010-03-09,3827,3.3425,79.91
2010-03-10,3819,3.3205,80.48
2010-03-11,3755,3.319,80.28
2010-03-12,3723,3.307,79.39
2010-03-13,3761,3.307,79.39
2010-03-14,3802,3.307,79.39
2010-03-18,3775,3.306,81.48
2010-03-19,3800,3.3035,79.88
2010-03-22,3734,3.3185,80.54
2010-03-23,3746,3.3182,80.7
2010-03-24,3739,3.317,79.62
2010-03-26,3690,3.3065,79.29
2010-03-30,3695,3.2685,81.28
2010-03-31,3682,3.2625,82.7
2010-04-01,3796,3.2575,84.01
2010-04-02,3721,3.248,84.01
2010-04-05,3719,3.23,85.88
2010-04-06,3705,3.2145,86.15
2010-04-07,3704,3.2125,85.59
2010-04-08,3767,3.2075,84.81
2010-04-09,3750,3.19,84.83
2010-04-12,3785,3.2075,84.77
2010-04-13,3790,3.2235,84.72
2010-04-14,3760,3.2005,86.15
2010-04-15,3760,3.1945,87.17
2010-04-16,3786,3.19,85.99
2010-04-19,3718,3.217,84.23
2010-04-21,3725,3.1975,85.7
2010-04-22,3751,3.196,85.67
2010-04-23,3726,3.194,87.25
2010-04-26,3742,3.1825,86.83
2010-04-27,3749,3.1875,85.78
2010-04-28,3821,3.218,86.16
2010-04-30,3811,3.1835,87.44
2010-05-03,3851,3.21,88.94
2010-05-04,3861,3.2125,85.67
2010-05-05,3857,3.2325,82.61
2010-05-06,3897,3.2545,79.83
2010-05-07,4047,3.2735,78.27
2010-05-10,3965,3.1985,80.12
2010-05-11,3929,3.2105,80.49
2010-05-12,4021,3.204,81.2
2010-05-13,4030,3.1975,80.11
2010-05-14,4025,3.1848,77.18
2010-05-17,4053,3.228,75.1
2010-05-18,4034,3.2125,74.43
2010-05-19,4047,3.2535,73.69
2010-05-20,3966,3.2735,71.84
2010-05-21,3985,3.3205,71.68
2010-05-24,3993,3.3195,71.17
2010-05-25,4048,3.363,69.55
2010-05-26,4116,3.3225,71.74
2010-05-27,4112,3.296,74.66
2010-05-31,4028,3.2615,74.65
2010-06-01,4054,3.3125,72.71
2010-06-02,4129,3.301,73.75
2010-06-03,4077,3.2655,75.41
2010-06-04,4028,3.275,72.09
2010-06-07,4127,3.333,72.12
2010-06-08,4205,3.326,72.3
2010-06-09,4203,3.3185,74.27
2010-06-10,4172,3.3025,75.29
2010-06-11,4070,3.2845,74.35
2010-06-14,4091,3.2615,75.2
2010-06-15,4058,3.271,76.2
2010-06-16,4088,3.2605,78.14
2010-06-18,4150,3.251,78.22
2010-06-21,4119,3.185,78.82
2010-06-22,4048,3.2025,78.04
2010-06-23,4076,3.2325,76.27
2010-06-24,4068,3.2385,76.47
2010-06-25,4103,3.2505,78.12
2010-06-28,4137,3.224,77.59
2010-06-29,4083,3.2485,75.44
2010-06-30,4129,3.2365,75.01
2010-07-01,4104,3.2325,72.34
2010-07-02,3948,3.2245,71.65
2010-07-05,3983,3.2075,71.47
2010-07-06,3977,3.2055,71.45
2010-07-07,3899,3.2205,73.51
2010-07-08,3930,3.2035,74.71
2010-07-09,3890,3.1985,75.42
2010-07-12,3941,3.205,74.37
2010-07-13,3904,3.207,76.65
2010-07-14,3936,3.197,76.77
2010-07-15,3955,3.199,76.19
2010-07-16,3949,3.208,75.37
2010-07-19,3925,3.2255,75.62
2010-07-20,3890,3.21,76.22
2010-07-21,3897,3.215,75.37
2010-07-22,3898,3.2095,77.82
2010-07-23,3902,3.2,77.45
2010-07-26,3876,3.1985,77.5
2010-07-27,3858,3.1843,76.13
2010-07-28,3786,3.19,76.06
2010-07-29,3798,3.1865,77.59
2010-07-30,3803,3.182,78.18
2010-08-02,3807,3.1595,80.82
2010-08-03,3807,3.1612,82.68
2010-08-04,3834,3.1675,82.2
2010-08-05,3864,3.1555,81.61
2010-08-06,3844,3.1475,80.16
2010-08-09,3857,3.1425,80.99
2010-08-10,3855,3.151,79.6
2010-08-11,3870,3.173,77.64
2010-08-12,3899,3.1845,75.52
2010-08-13,3930,3.1675,75.11
2010-08-16,3956,3.181,74.85
2010-08-17,3960,3.159,76.93
2010-08-18,3943,3.1555,76.47
2010-08-19,3928,3.133,75.3
2010-08-20,3940,3.1385,74.26
2010-08-23,3929,3.132,73.62
2010-08-24,3904,3.145,72.38
2010-08-25,3950,3.1406,73.48
2010-08-26,3967,3.1425,75.02
2010-08-27,3963,3.1445,76.65
2010-08-30,3947,3.14,76.6
2010-09-01,3996,3.1305,76.35
2010-09-02,3969,3.1275,76.93
2010-09-03,3985,3.121,76.67
2010-09-06,3961,3.1175,76.87
2010-09-07,3976,3.1245,77.74
2010-09-08,4007,3.1125,78.17
2010-09-09,3980,3.111,77.47
2010-09-13,3931,3.1015,79.03
2010-09-14,3950,3.106,79.16
2010-09-15,4016,3.1165,78.91
2010-09-17,4044,3.101,78.21
2010-09-20,4040,3.103,79.32
2010-09-21,4046,3.101,78.42
2010-09-22,4061,3.0907,77.95
2010-09-23,4072,3.0965,78.11
2010-09-24,4091,3.0915,78.87
2010-09-27,4087,3.0895,78.57
2010-09-28,4077,3.0943,78.71
2010-09-29,4117,3.0845,80.77
2010-09-30,4119,3.0855,82.31
2010-10-01,4115,3.0867,83.75
2010-10-04,4147,3.0925,83.28
2010-10-05,4150,3.0978,84.84
2010-10-06,4228,3.0922,85.06
2010-10-07,4238,3.0905,83.43
2010-10-08,4223,3.114,84.03
2010-10-11,4260,3.101,83.72
2010-10-12,4287,3.1095,83.5
2010-10-13,4271,3.094,84.64
2010-10-14,4326,3.0833,84.53
2010-10-15,4340,3.082,82.45
2010-10-18,4285,3.0975,84.37
2010-10-19,4319,3.1085,81.1
2010-10-20,4262,3.118,83.6
2010-10-21,4271,3.106,81.83
2010-10-22,4213,3.113,82.96
2010-10-25,4228,3.094,83.54
2010-10-26,4234,3.0955,83.66
2010-10-27,4249,3.1075,83.23
2010-10-28,4212,3.1105,83.59
2010-10-29,4248,3.1115,83.15
2010-11-01,4302,3.0935,84.62
2010-11-02,4274,3.0875,85.41
2010-11-03,4271,3.0855,86.38
2010-11-04,4240,3.0825,88
2010-11-08,4395,3.0915,88.46
2010-11-09,4449,3.0965,88.33
2010-11-10,4417,3.089,88.96
2010-11-11,4415,3.092,88.81
2010-11-12,4439,3.116,86.34
2010-11-15,4365,3.1385,86.7
2010-11-16,4353,3.131,84.73
2010-11-18,4300,3.1225,85.05
2010-11-19,4320,3.1185,84.34
2010-11-22,4304,3.1025,83.96
2010-11-23,4332,3.1335,83.25
2010-11-24,4394,3.1365,85.84
2010-11-25,4394,3.132,86.1
2010-11-26,4386,3.1495,85.58
2010-11-29,4371,3.1525,87.34
2010-11-30,4411,3.1635,85.92
2010-12-01,4460,3.152,88.87
2010-12-02,4456,3.154,90.69
2010-12-03,4450,3.147,91.42
2010-12-06,4505,3.146,91.45
2010-12-08,4491,3.146,90.77
2010-12-09,4435,3.1385,90.99
2010-12-10,4440,3.1335,90.48
2010-12-13,4415,3.14,91.19
2010-12-14,4458,3.127,91.21
2010-12-15,4455,3.135,92.2
2010-12-16,4423,3.1365,91.71
2010-12-17,4382,3.1355,91.67
2010-12-20,4425,3.145,92.74
2010-12-21,4435,3.1355,93.2
2010-12-22,4432,3.1315,93.65
2010-12-23,4414,3.114,94.25
2010-12-24,4387,3.0955,93.77
2010-12-27,4351,3.0945,93.85
2010-12-28,4369,3.0945,94.38
2010-12-29,4432,3.092,94.14
2010-12-30,4445,3.0855,93.09
2011-01-03,4425,3.064,94.84
2011-01-04,4422,3.0635,93.53
2011-01-05,4325,3.0695,95.5
2011-01-06,4310,3.0695,94.52
2011-01-07,4295,3.07,93.33
2011-01-10,4284,3.08,95.7
2011-01-11,4318,3.0695,97.61
2011-01-12,4323,3.065,98.12
2011-01-13,4316,3.054,98.06
2011-01-14,4287,3.0555,98.68
2011-01-17,4248,3.0575,97.43
2011-01-18,4246,3.0575,97.8
2011-01-19,4265,3.052,98.16
2011-01-21,4214,3.06,97.6
2011-01-24,4204,3.057,96.61
2011-01-25,4157,3.0518,95.25
2011-01-26,4148,3.0516,97.91
2011-01-27,4185,3.052,97.39
2011-01-28,4096,3.0555,99.42
2011-01-31,4200,3.059,101.01
2011-02-01,4162,3.059,101.74
2011-02-02,4166,3.0435,102.34
2011-02-07,4181,3.0375,99.25
2011-02-08,4182,3.0335,99.92
2011-02-09,4218,3.0375,101.82
2011-02-10,4222,3.043,100.87
2011-02-11,4233,3.0535,101.43
2011-02-14,4220,3.0545,103.08
2011-02-16,4272,3.0465,103.78
2011-02-17,4267,3.045,102.59
2011-02-18,4292,3.0345,102.52
2011-02-21,4304,3.0355,105.74
2011-02-22,4369,3.0492,105.78
2011-02-23,4350,3.0465,111.25
2011-02-24,4397,3.0655,111.36
2011-02-25,4379,3.0525,112.14
2011-02-28,4404,3.0495,111.8
2011-03-01,4382,3.0362,115.42
2011-03-02,4442,3.037,116.35
2011-03-03,4431,3.0315,114.79
2011-03-04,4376,3.029,115.97
2011-03-07,4435,3.0315,115.04
2011-03-08,4427,3.0345,113.06
2011-03-09,4422,3.033,115.94
2011-03-10,4418,3.032,115.43
2011-03-11,4380,3.039,113.84
2011-03-14,4423,3.0372,113.67
2011-03-15,4410,3.0605,108.52
2011-03-16,4351,3.0522,110.62
2011-03-17,4349,3.0535,114.9
2011-03-18,4381,3.0525,113.93
2011-03-21,4428,3.0405,114.96
2011-03-22,4414,3.0295,115.7
2011-03-23,4407,3.029,115.55
2011-03-24,4442,3.0278,115.72
2011-03-25,4423,3.0265,115.59
2011-03-28,4401,3.0261,114.8
2011-03-29,4385,3.0265,115.16
2011-03-30,4383,3.0252,115.13
2011-03-31,4384,3.0253,117.36
2011-04-01,4425,3.0255,118.7
2011-04-04,4413,3.0261,121.06
2011-04-05,4431,3.0265,122.22
2011-04-06,4483,3.025,122.3
2011-04-07,4494,3.0275,122.67
2011-04-08,4502,3.0223,126.65
2011-04-11,4545,3.0208,123.98
2011-04-12,4502,3.0285,120.92
2011-04-13,4490,3.0232,122.88
2011-04-14,4501,3.0225,122.36
2011-04-15,4556,3.023,123.45
2011-04-18,4584,3.0238,121.61
2011-04-19,4616,3.0245,121.33
2011-04-20,4607,3.0158,123.85
2011-04-21,4621,3.0075,123.99
2011-04-22,4620,3.0059,123.99
2011-04-25,4635,2.9933,123.66
2011-04-26,4604,2.9885,124.14
2011-04-27,4587,2.979,125.13
2011-04-28,4618,2.9657,125.02
2011-04-29,4650,2.961,125.89
2011-05-03,4670,2.9705,122.45
2011-05-04,4661,2.9745,121.19
2011-05-05,4626,2.992,110.8
2011-05-06,4565,3.007,109.13
2011-05-09,4553,2.9865,115.9
2011-05-10,4601,2.9895,117.63
2011-05-11,4613,2.979,112.57
2011-05-12,4599,3.0112,112.98
2011-05-13,4614,3.0025,113.83
2011-05-16,4608,3.0415,112.73
2011-05-18,4606,3.0318,112.3
2011-05-19,4610,3.0295,111.42
2011-05-20,4603,3.012,112.39
2011-05-23,4674,3.0608,110.1
2011-05-24,4727,3.0519,112.53
2011-05-25,4741,3.0635,114.93
2011-05-26,4753,3.046,115.05
2011-05-27,4718,3.0315,115.03
2011-05-30,4734,3.0185,114.68
2011-05-31,4718,3.014,116.73
2011-06-01,4708,3.008,114.53
2011-06-02,4761,3.021,115.54
2011-06-03,4706,3.0095,115.84
2011-06-06,4715,3.005,114.48
2011-06-07,4747,3.0075,116.78
2011-06-08,4729,3.0175,117.85
2011-06-09,4733,3.0215,119.57
2011-06-10,4753,3.0185,118.78
2011-06-13,4721,3.0415,119.1
2011-06-14,4711,3.0325,120.16
2011-06-15,4709,3.0323,117.1
2011-06-16,4740,3.0445,114.02
2011-06-17,4758,3.0445,113.21
2011-06-20,4763,3.0438,111.69
2011-06-21,4775,3.0285,110.95
2011-06-22,4766,3.02,114.21
2011-06-23,4783,3.032,107.26
2011-06-24,4717,3.0405,105.12
2011-06-27,4674,3.0575,105.99
2011-06-28,4674,3.047,108.78
2011-06-29,4652,3.033,112.4
2011-06-30,4657,3.02,112.48
2011-07-01,4613,3.0095,111.77
2011-07-04,4559,3.0025,111.39
2011-07-05,4581,3.0075,113.61
2011-07-06,4650,3.0105,113.62
2011-07-07,4690,3.009,118.59
2011-07-08,4679,2.993,118.33
2011-07-11,4718,3.01,117.24
2011-07-12,4794,3.032,117.75
2011-07-13,4834,3.0217,118.78
2011-07-14,4870,3.0005,118.32
